variant,lr_stage,jobid,epoch,train_loss,val_ic,val_ic_ir,hit@50,spread@50
C,1em3,8698818,80,-0.156100,0.015980,0.1490,0.5790,+0.002450
C,1em3,8698818,81,-0.157280,0.017550,0.1450,0.5280,+0.001670
C,1em3,8698818,82,-0.170570,0.012400,0.1170,0.5330,+0.001420
C,1em3,8698818,83,-0.154360,0.019150,0.1640,0.5690,+0.002110
C,3em3,8700636,0,-0.002100,0.012650,0.1140,0.5430,+0.001410
C,3em3,8700636,1,-0.002430,0.015560,0.1150,0.5990,+0.002650
C,3em3,8700636,2,-0.002480,0.012420,0.0580,0.4970,+0.000850
C,3em3,8700636,3,-0.025880,0.020730,0.1480,0.5740,+0.002150
C,3em3,8700636,4,-0.041040,0.022870,0.1400,0.5890,+0.002960
C,3em3,8700636,5,-0.043700,0.022050,0.1290,0.5380,+0.002320
C,3em3,8700636,6,-0.066140,0.021800,0.1270,0.5840,+0.002330
C,3em3,8700636,7,-0.078440,0.022830,0.1360,0.5790,+0.002570
C,3em3,8700636,8,-0.073350,0.019340,0.1120,0.5630,+0.002280
C,3em3,8700636,9,-0.094500,0.015860,0.1190,0.5530,+0.002000
C,3em3,8700636,10,-0.069950,0.021910,0.1400,0.5840,+0.002700
C,3em3,8700636,11,-0.105550,0.014250,0.1170,0.5940,+0.002590
C,3em3,8700636,12,-0.106140,0.021340,0.1380,0.5890,+0.002660
C,3em3,8700636,13,-0.098770,0.018770,0.1290,0.5530,+0.002380
C,3em3,8700636,14,-0.117460,0.013790,0.1150,0.5940,+0.002180
C,3em3,8700636,15,-0.089580,0.016650,0.1090,0.5580,+0.002220
C,3em3,8700636,16,-0.112870,0.021500,0.1340,0.5840,+0.002710
C,3em3,8700636,17,-0.121410,0.016850,0.1530,0.6290,+0.003040
C,3em3,8700636,18,-0.111280,0.014580,0.0960,0.5740,+0.002230
C,3em3,8700636,19,-0.124460,0.010910,0.1010,0.5990,+0.002080
C,3em3,8700636,20,-0.078340,0.016360,0.1070,0.5740,+0.002260
C,3em3,8700636,21,-0.102020,0.018570,0.1150,0.5890,+0.002450
C,3em3,8700636,22,-0.124290,0.020710,0.1630,0.5840,+0.002850
C,3em3,8700636,23,-0.112410,0.016730,0.1200,0.5630,+0.002140
C,3em3,8700636,24,-0.135520,0.017780,0.1310,0.5790,+0.002370
C,3em3,8700636,25,-0.106520,0.020500,0.1450,0.5890,+0.002170
C,3em3,8700636,26,-0.120370,0.019950,0.1670,0.5990,+0.002540
C,3em3,8700636,27,-0.124860,0.017690,0.1520,0.6500,+0.002660
C,3em3,8700636,28,-0.118660,0.019890,0.1590,0.5740,+0.002340
C,3em3,8700636,29,-0.141410,0.015580,0.1390,0.5990,+0.001950
C,3em3,8700636,30,-0.115930,0.013670,0.1480,0.5890,+0.001740
C,3em3,8700636,31,-0.134160,0.015430,0.1110,0.5130,+0.001950
C,3em3,8700636,32,-0.135520,0.010540,0.1070,0.5890,+0.001930
C,3em3,8700636,33,-0.125750,0.016000,0.1270,0.5940,+0.002430
C,3em3,8700636,34,-0.151110,0.015310,0.1430,0.6140,+0.002170
C,3em3,8700636,35,-0.111840,0.018350,0.1320,0.5530,+0.001980
C,3em3,8700636,36,-0.133330,0.011440,0.1120,0.5990,+0.001820
C,3em3,8700636,37,-0.143150,0.010000,0.0890,0.6040,+0.001830
C,3em3,8700636,38,-0.132650,0.006750,0.0770,0.5990,+0.001960
C,3em3,8700636,40,-0.123890,0.008470,0.0690,0.5580,+0.001010
C,3em3,8700636,41,-0.135000,0.010750,0.0990,0.5580,+0.001380
C,3em3,8700636,42,-0.142770,0.005420,0.0550,0.5480,+0.000750
C,3em3,8700636,43,-0.135520,0.011690,0.0980,0.5790,+0.001920
C,3em3,8700636,44,-0.162710,0.009710,0.0780,0.5990,+0.001440
C,3em3,8700636,46,-0.144850,0.000500,0.0050,0.5030,+0.000780
C,3em3,8700636,47,-0.146740,0.009000,0.0920,0.5330,+0.000950
C,3em3,8700636,50,-0.130650,0.009700,0.0830,0.5790,+0.001130
C,3em3,8700636,51,-0.142900,0.011080,0.0960,0.5530,+0.001460
C,3em3,8700636,69,-0.158990,0.003440,0.0320,0.5580,+0.000800
C,3em3,8700636,72,-0.150120,0.003430,0.0320,0.5530,+0.000770
C,3em4,8690956,0,-0.002380,0.012220,0.1040,0.5380,+0.001330
C,3em4,8691213,0,-0.002380,0.012220,0.1040,0.5380,+0.001330
C,3em4,8690956,1,0.000050,0.014450,0.1310,0.5480,+0.001690
C,3em4,8691213,1,0.000050,0.014440,0.1310,0.5480,+0.001700
C,3em4,8691213,2,-0.002350,0.018000,0.1610,0.6140,+0.002610
C,3em4,8691213,3,-0.004220,0.017610,0.1540,0.6140,+0.002920
C,3em4,8691213,4,-0.006570,0.017960,0.1540,0.6400,+0.003000
C,3em4,8691213,5,-0.004270,0.016230,0.1120,0.5430,+0.001420
C,3em4,8691213,6,-0.007620,0.018310,0.1630,0.6090,+0.002110
C,3em4,8691213,7,-0.008640,0.019660,0.1480,0.5480,+0.001180
C,3em4,8691213,8,-0.013310,0.018900,0.1320,0.5690,+0.001370
C,3em4,8691213,9,-0.026080,0.022530,0.1640,0.6140,+0.001890
C,3em4,8691213,10,-0.022520,0.019720,0.1330,0.6090,+0.002170
C,3em4,8691213,11,-0.036500,0.025030,0.1750,0.6190,+0.002500
C,3em4,8691213,12,-0.044780,0.024600,0.1590,0.5740,+0.001810
C,3em4,8691213,13,-0.055090,0.024320,0.1560,0.5530,+0.001850
C,3em4,8691213,14,-0.065540,0.021430,0.1300,0.5580,+0.001910
C,3em4,8691213,15,-0.064440,0.024730,0.1630,0.5690,+0.002270
C,3em4,8691213,16,-0.077410,0.025330,0.1730,0.5580,+0.002320
C,3em4,8691213,17,-0.090500,0.023430,0.1540,0.5690,+0.001840
C,3em4,8691213,18,-0.084090,0.024700,0.1860,0.6190,+0.003050
C,3em4,8691213,19,-0.089960,0.022050,0.1340,0.5530,+0.002120
C,3em4,8691213,20,-0.077220,0.024760,0.1650,0.6090,+0.002960
C,3em4,8691213,21,-0.089120,0.024170,0.1690,0.6350,+0.002740
C,3em4,8691213,22,-0.099590,0.023990,0.1840,0.6550,+0.003040
